short_description,close_notes,etiqueta
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) - Se genera la vinculación de 1 cliente,"Cerrado por sistemas, sin respuesta",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) - Se genera la vinculación del cliente,"Cerrado por sistemas, sin respuesta",2
Se presenta inconveniente para la vinculación y apertura de productos en  Vinculación Preventas Fiduciaria (One Id),Solución Temporal,2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) - Problema para la vinculación y apertura de productos en  Vinculación Preventas ,"Buen día.

se identificó que a veces la Base de Datos que se usa para la fiduciaria con el cluster de Kubernetes pierde conexión con el servicio vinculacion-backend-service, por lo cual, para la solución se hace un reinicio del servicio. Nos encontramos trabajando para brindar la solución de raíz y mientras tanto se esta haciendo monitoreo del servicio para atacarlo si el problema se vuelve a presentar.",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID):  La plataforma OneId no reporto a Davibox los archivos de cargue a SAF,"Cerrado por sistemas, sin respuesta",0
VINCULACION PREVENTAS FIDUCIARIA (ONE ID):procesos independientes de diferentes,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema.",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID): Se presenta inconveniente para la vinculación de Clientes,"Cordial saludo.
Se realizan las pruebas y estas fueron exitosas.",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID):no permite autenticar ,"Se ha copiado Notas de resolución del incidente principal: Cordial saludo.
Se realizan las pruebas y estas fueron exitosas.",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) - Error: Encargo asignado a 2 clientes diferentes,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema.",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) - Sistema no disponible,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema.",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) - Autenticación por preguntas reto no pasa,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema.",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) - No se visualizan correctamente los archivos de firma,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema.",1
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) - Se genera proceso de 2 compradores,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema.",2
"FVINCULACION PREVENTAS FIDUCIARIA (ONE ID):  No permite inciar sesión ni usando la opción de ""olvide contraseña""Favor Asignar a Mauricio Guerrero","No se obtuvo respuesta del Usuario. 
Cerrado por el sistema.",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) - Recibió y firmo el NIC pero el encargo No se recibió.,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema.",1
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) - Cliente no pasa  la validación Sarlaft,"Buen día Patricia

Se realizó el escalamiento internamente a Andres Bernal que es el PM del proyecto debido a que el asunto de las listas que se consultan fueron acuerdos a nivel de producto y que están bajo gestión comercial basándonos en esto se aleja de la parte técnica y se trabajará bajo la parte comercial.",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID),"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema.",2
